doc_no,doc_type,doc_date,customer_name,customer_email,customer_phone,amount,against_doc
INV/2026-27/00104,invoice,2026-08-07,Aditi Kurian,aditikurian56@example.in,9711777741,2727.00,
INV/2026-27/00142,invoice,2026-08-07,Kabir Banerjee,kabirbanerje24@example.in,9240234483,1648.00,
INV/2026-27/00164,invoice,2026-08-07,Simran Shetty,simranshetty48@example.in,9745378383,349.00,
INV/2026-27/00165,invoice,2026-08-07,Urban Nest Studio,urbanneststu43@example.in,9544091031,3376.00,
INV/2026-27/00168,invoice,2026-08-07,Divya Kurian,divyakurian71@example.in,9511637265,3798.00,
INV/2026-27/00180,invoice,2026-08-07,Vivaan Saxena,vivaansaxena70@example.in,9358735570,2177.00,
INV/2026-27/00182,invoice,2026-08-07,Bhavna Rathore,bhavnarathor70@example.in,9439575513,5997.00,
INV/2026-27/00204,invoice,2026-08-07,Revathi Reddy,revathireddy47@example.in,9451669156,2278.00,
INV/2026-27/00227,invoice,2026-08-07,Kabir Rao,kabirrao12@example.in,9883873716,9548.00,
INV/2026-27/00228,invoice,2026-08-07,Naveen Chauhan,naveenchauha12@example.in,9931002516,649.00,
INV/2026-27/00120,invoice,2026-08-08,Simran Dutta,simrandutta77@example.in,9936439008,999.00,
INV/2026-27/00144,invoice,2026-08-08,Naveen Chauhan,naveenchauha12@example.in,9931002516,1199.00,
INV/2026-27/00187,invoice,2026-08-08,Ramesh Sen,rameshsen50@example.in,9150556130,2799.00,
INV/2026-27/00190,invoice,2026-08-08,Meera Rathore,meerarathore21@example.in,9269060443,9047.00,
INV/2026-27/00196,invoice,2026-08-08,Isha George,ishageorge67@example.in,9801759898,299.00,
INV/2026-27/00203,invoice,2026-08-08,Aakash Pandey,aakashpandey20@example.in,9223307924,8697.00,
INV/2026-27/00210,invoice,2026-08-08,Sanya Trivedi,sanyatrivedi99@example.in,9718002390,4548.00,
INV/2026-27/00238,invoice,2026-08-08,Kabir Banerjee,kabirbanerje24@example.in,9240234483,10097.00,
INV/2026-27/00105,invoice,2026-08-09,Aditi Kurian,aditikurian56@example.in,9711777741,2598.00,
INV/2026-27/00112,invoice,2026-08-09,Aakash Pandey,aakashpandey20@example.in,9223307924,5577.00,
INV/2026-27/00116,invoice,2026-08-09,Vikram Dutta,vikramdutta20@example.in,9253287046,2548.00,
INV/2026-27/00117,invoice,2026-08-09,Sharma Traders,sharmatrader90@example.in,9636060710,2647.00,
INV/2026-27/00123,invoice,2026-08-09,Isha George,ishageorge67@example.in,9801759898,678.00,
INV/2026-27/00141,invoice,2026-08-09,Kabir Pillai,kabirpillai47@example.in,9782450400,1199.00,
INV/2026-27/00143,invoice,2026-08-09,Kabir Rao,kabirrao12@example.in,9883873716,2798.00,
INV/2026-27/00152,invoice,2026-08-09,Vikram Dutta,vikramdutta20@example.in,9253287046,349.00,
INV/2026-27/00172,invoice,2026-08-09,Sanjay Naidu,sanjaynaidu77@example.in,9314366764,3776.00,
INV/2026-27/00183,invoice,2026-08-09,Karthik Menon,karthikmenon91@example.in,9265020146,7077.00,
INV/2026-27/00185,invoice,2026-08-09,Aakash Pandey,aakashpandey20@example.in,9223307924,3348.00,
INV/2026-27/00198,invoice,2026-08-09,Reyansh Chandra,reyanshchand45@example.in,9041042346,598.00,
INV/2026-27/00199,invoice,2026-08-09,Aditya Pillai,adityapillai28@example.in,9154728038,2277.00,
INV/2026-27/00201,invoice,2026-08-09,Coastal Stays LLP,coastalstays70@example.in,9764672720,1178.00,
INV/2026-27/00202,invoice,2026-08-09,Divya Kurian,divyakurian71@example.in,9511637265,11047.00,
INV/2026-27/00237,invoice,2026-08-09,Aditi Agarwal,aditiagarwal53@example.in,9901092815,749.00,
INV/2026-27/00250,invoice,2026-08-09,Riya Sen,riyasen36@example.in,9878375762,1499.00,
INV/2026-27/00274,invoice,2026-08-09,Reyansh Chandra,reyanshchand45@example.in,9041042346,6534.50,
INV/2026-27/00276,invoice,2026-08-09,John Subramanian,johnsubraman73@example.in,9514026140,4706.00,
CN/2026-27/00013,credit_note,2026-08-10,Aditi Kurian,aditikurian56@example.in,9711777741,1299.00,INV/2026-27/00105
CN/2026-27/00014,credit_note,2026-08-10,Kabir Rao,kabirrao12@example.in,9883873716,2798.00,INV/2026-27/00143
INV/2026-27/00121,invoice,2026-08-10,Ganesh Pandey,ganeshpandey42@example.in,9348395486,9147.00,
INV/2026-27/00176,invoice,2026-08-10,Karthik Menon,karthikmenon91@example.in,9265020146,399.00,
INV/2026-27/00189,invoice,2026-08-10,Aakash Verma,aakashverma46@example.in,9026859952,5999.00,
INV/2026-27/00222,invoice,2026-08-10,John Subramanian,johnsubraman73@example.in,9514026140,649.00,
INV/2026-27/00241,invoice,2026-08-10,Neha Qureshi,nehaqureshi40@example.in,9337761740,1098.00,
INV/2026-27/00243,invoice,2026-08-10,Varun Ansari,varunansari38@example.in,9760926030,4496.00,
INV/2026-27/00258,invoice,2026-08-10,Riya Ghosh,riyaghosh26@example.in,9276544446,7999.00,
INV/2026-27/00259,invoice,2026-08-10,Riya Ghosh,riyaghosh26@example.in,9276544446,7999.00,
INV/2026-27/00280,invoice,2026-08-10,Sana Bhat,sanabhat58@example.in,9450749528,2899.00,
CN/2026-27/00012,credit_note,2026-08-11,Aditi Agarwal,aditiagarwal53@example.in,9901092815,374.00,INV/2026-27/00237
INV/2026-27/00109,invoice,2026-08-11,Urban Nest Studio,urbanneststu43@example.in,9544091031,749.00,
INV/2026-27/00113,invoice,2026-08-11,Karthik Menon,karthikmenon91@example.in,9265020146,5078.00,
INV/2026-27/00170,invoice,2026-08-11,Ayaan Fernandes,ayaanfernand56@example.in,9280841485,549.00,
INV/2026-27/00186,invoice,2026-08-11,Coastal Stays LLP,coastalstays70@example.in,9764672720,378.00,
INV/2026-27/00272,invoice,2026-08-11,Isha Agarwal,ishaagarwal28@example.in,9791805888,9198.00,
INV/2026-27/00155,invoice,2026-08-12,Riya Reddy,riyareddy93@example.in,9347861221,5078.00,
INV/2026-27/00162,invoice,2026-08-12,Sana Bhat,sanabhat58@example.in,9450749528,2347.00,
INV/2026-27/00178,invoice,2026-08-12,Neha Tiwari,nehatiwari88@example.in,9319254499,5826.00,
INV/2026-27/00181,invoice,2026-08-12,Ganesh Kurian,ganeshkurian26@example.in,9001826330,7176.00,
INV/2026-27/00122,invoice,2026-08-13,Uma Joshi,umajoshi39@example.in,9734419792,6446.00,
INV/2026-27/00128,invoice,2026-08-13,Meera Rathore,meerarathore21@example.in,9269060443,17797.00,
INV/2026-27/00146,invoice,2026-08-13,Urban Nest Studio,urbanneststu43@example.in,9544091031,2248.00,
INV/2026-27/00169,invoice,2026-08-13,Kabir Banerjee,kabirbanerje24@example.in,9240234483,4798.00,
INV/2026-27/00173,invoice,2026-08-13,Isha George,ishageorge67@example.in,9801759898,5797.00,
INV/2026-27/00184,invoice,2026-08-13,Riya Ghosh,riyaghosh26@example.in,9276544446,15497.00,
INV/2026-27/00213,invoice,2026-08-13,Nikhil Subramanian,nikhilsubram76@example.in,9477718341,6998.00,
INV/2026-27/00221,invoice,2026-08-13,Ishaan Bose,ishaanbose35@example.in,9478878384,828.00,
INV/2026-27/00248,invoice,2026-08-13,Isha Agarwal,ishaagarwal28@example.in,9791805888,10097.00,
CN/2026-27/00011,credit_note,2026-08-14,Riya Ghosh,riyaghosh26@example.in,9276544446,15497.00,INV/2026-27/00184
INV/2026-27/00110,invoice,2026-08-14,Karthik Menon,karthikmenon91@example.in,9265020146,8999.00,
INV/2026-27/00129,invoice,2026-08-14,Ganesh Kurian,ganeshkurian26@example.in,9001826330,2947.00,
INV/2026-27/00145,invoice,2026-08-14,Reyansh Chandra,reyanshchand45@example.in,9041042346,8999.00,
INV/2026-27/00157,invoice,2026-08-14,Bhavna Banerjee,bhavnabanerj40@example.in,9633875004,5197.00,
INV/2026-27/00166,invoice,2026-08-14,Sharma Traders,sharmatrader90@example.in,9636060710,5198.00,
INV/2026-27/00171,invoice,2026-08-14,Tara Saxena,tarasaxena35@example.in,9048137343,449.00,
INV/2026-27/00195,invoice,2026-08-14,Simran Dutta,simrandutta77@example.in,9936439008,8647.00,
INV/2026-27/00220,invoice,2026-08-14,Greenleaf Cafe,greenleafcaf42@example.in,9319554590,1499.00,
INV/2026-27/00245,invoice,2026-08-14,Aakash Verma,aakashverma46@example.in,9026859952,299.00,
INV/2026-27/00126,invoice,2026-08-15,Siddharth Banerjee,siddharthban92@example.in,9424861114,2199.00,
INV/2026-27/00132,invoice,2026-08-15,Naveen Krishnan,naveenkrishn67@example.in,9800837407,348.00,
INV/2026-27/00188,invoice,2026-08-15,Nikhil Subramanian,nikhilsubram76@example.in,9477718341,3047.00,
INV/2026-27/00194,invoice,2026-08-15,Reyansh Patel,reyanshpatel75@example.in,9535606883,6176.00,
INV/2026-27/00216,invoice,2026-08-15,Isha George,ishageorge67@example.in,9801759898,18447.00,
INV/2026-27/00229,invoice,2026-08-15,Aditi Khan,aditikhan88@example.in,9013962459,699.00,
INV/2026-27/00240,invoice,2026-08-15,Riya Ghosh,riyaghosh26@example.in,9276544446,999.00,
INV/2026-27/00244,invoice,2026-08-15,Riya Ghosh,riyaghosh26@example.in,9276544446,4146.00,
INV/2026-27/00102,invoice,2026-08-16,Ramesh Kamath,rameshkamath30@example.in,9077642656,1298.00,
INV/2026-27/00125,invoice,2026-08-16,Meera Rathore,meerarathore21@example.in,9269060443,748.00,
INV/2026-27/00191,invoice,2026-08-16,Abhishek Gupta,abhishekgupt98@example.in,9890786666,1278.00,
INV/2026-27/00209,invoice,2026-08-16,Pooja George,poojageorge90@example.in,9841537760,2527.00,
INV/2026-27/00231,invoice,2026-08-16,Uma Joshi,umajoshi39@example.in,9734419792,798.00,
INV/2026-27/00235,invoice,2026-08-16,Riya Reddy,riyareddy93@example.in,9347861221,2499.00,
INV/2026-27/00249,invoice,2026-08-16,Aditi Agarwal,aditiagarwal53@example.in,9901092815,8078.00,
INV/2026-27/00256,invoice,2026-08-16,Ganesh Kurian,ganeshkurian26@example.in,9001826330,649.00,
INV/2026-27/00257,invoice,2026-08-16,Ganesh Kurian,ganeshkurian26@example.in,9001826330,1198.00,
INV/2026-27/00260,invoice,2026-08-16,Brightpath Interiors LLP,brightpathin79@example.in,9505252808,699.00,
INV/2026-27/00261,invoice,2026-08-16,Kiran Kumar,kirankumar68@example.in,9577355311,699.00,
INV/2026-27/00101,invoice,2026-08-17,Greenleaf Cafe,greenleafcaf42@example.in,9319554590,299.00,
INV/2026-27/00161,invoice,2026-08-17,Kabir Saxena,kabirsaxena94@example.in,9786843353,1348.00,
INV/2026-27/00246,invoice,2026-08-17,Neha Fernandes,nehafernande18@example.in,9881817414,1199.00,
INV/2026-27/00247,invoice,2026-08-17,Vivaan Das,vivaandas57@example.in,9572101415,4047.00,
INV/2026-27/00252,invoice,2026-08-17,Vivaan Pai,vivaanpai63@example.in,9183654610,7898.00,
INV/2026-27/00262,invoice,2026-08-17,Venkatesh Iyer,venkateshiye36@example.in,9585190799,1498.00,
INV/2026-27/00263,invoice,2026-08-17,Harish Kumar,harishkumar65@example.in,9026128485,1498.00,
INV/2026-27/00106,invoice,2026-08-18,Aditya Pillai,adityapillai28@example.in,9154728038,499.00,
INV/2026-27/00134,invoice,2026-08-18,Greenleaf Cafe,greenleafcaf42@example.in,9319554590,2199.00,
INV/2026-27/00197,invoice,2026-08-18,Sharma Traders,sharmatrader90@example.in,9636060710,748.00,
INV/2026-27/00230,invoice,2026-08-18,Nisha Yadav,nishayadav36@example.in,9191284529,1798.00,
INV/2026-27/00275,invoice,2026-08-18,Urban Nest Studio,urbanneststu43@example.in,9544091031,2942.50,
INV/2026-27/00282,invoice,2026-08-18,Ayesha Shah,ayeshashah31@example.in,9538885393,3599.00,
INV/2026-27/00153,invoice,2026-08-19,Ramesh Kamath,rameshkamath30@example.in,9077642656,10346.00,
INV/2026-27/00158,invoice,2026-08-19,Aditi Khan,aditikhan88@example.in,9013962459,599.00,
INV/2026-27/00175,invoice,2026-08-19,Divya Kurian,divyakurian71@example.in,9511637265,5048.00,
INV/2026-27/00177,invoice,2026-08-19,Ramesh Sen,rameshsen50@example.in,9150556130,8999.00,
INV/2026-27/00212,invoice,2026-08-19,Bhavna Rathore,bhavnarathor70@example.in,9439575513,2647.00,
INV/2026-27/00217,invoice,2026-08-19,Aditi Kurian,aditikurian56@example.in,9711777741,2498.00,
INV/2026-27/00281,invoice,2026-08-19,Kavitha Tiwari,kavithatiwar68@example.in,9224704558,3049.00,
INV/2026-27/00114,invoice,2026-08-20,Sana Bhat,sanabhat58@example.in,9450749528,697.00,
INV/2026-27/00130,invoice,2026-08-20,Aditya Pillai,adityapillai28@example.in,9154728038,4448.00,
INV/2026-27/00139,invoice,2026-08-20,Riya Sen,riyasen36@example.in,9878375762,16576.00,
INV/2026-27/00167,invoice,2026-08-20,Uma Joshi,umajoshi39@example.in,9734419792,799.00,
INV/2026-27/00192,invoice,2026-08-20,Kabir Rao,kabirrao12@example.in,9883873716,299.00,
INV/2026-27/00214,invoice,2026-08-20,Simran Dutta,simrandutta77@example.in,9936439008,1099.00,
INV/2026-27/00224,invoice,2026-08-20,Jaya Subramanian,jayasubraman65@example.in,9865635515,349.00,
INV/2026-27/00133,invoice,2026-08-21,Vivaan Das,vivaandas57@example.in,9572101415,1348.00,
INV/2026-27/00136,invoice,2026-08-21,Aakash Pandey,aakashpandey20@example.in,9223307924,8999.00,
INV/2026-27/00147,invoice,2026-08-21,Meera Rathore,meerarathore21@example.in,9269060443,7298.00,
INV/2026-27/00156,invoice,2026-08-21,Ganesh Kurian,ganeshkurian26@example.in,9001826330,4347.00,
INV/2026-27/00160,invoice,2026-08-21,Nikhil Pai,nikhilpai27@example.in,9070741374,6047.00,
INV/2026-27/00200,invoice,2026-08-21,Naveen Chauhan,naveenchauha12@example.in,9931002516,1198.00,
INV/2026-27/00208,invoice,2026-08-21,Riya Reddy,riyareddy93@example.in,9347861221,1499.00,
INV/2026-27/00225,invoice,2026-08-21,Naveen Chauhan,naveenchauha12@example.in,9931002516,13998.00,
INV/2026-27/00268,invoice,2026-08-21,Anand Chawla,anandchawla90@example.in,9565993528,747.00,
INV/2026-27/00269,invoice,2026-08-21,Ananya Chatterjee,ananyachatte55@example.in,9866942802,747.00,
CN/2026-27/00016,credit_note,2026-08-22,Nikhil Pai,nikhilpai27@example.in,9070741374,6047.00,INV/2026-27/00160
INV/2026-27/00127,invoice,2026-08-22,Sharma Traders,sharmatrader90@example.in,9636060710,11997.00,
INV/2026-27/00135,invoice,2026-08-22,Reyansh Chandra,reyanshchand45@example.in,9041042346,1127.00,
INV/2026-27/00151,invoice,2026-08-22,Ishaan Mishra,ishaanmishra95@example.in,9361341252,4698.00,
INV/2026-27/00159,invoice,2026-08-22,Ganesh Sen,ganeshsen26@example.in,9057986828,449.00,
INV/2026-27/00179,invoice,2026-08-22,Isha George,ishageorge67@example.in,9801759898,2999.00,
INV/2026-27/00193,invoice,2026-08-22,Urban Nest Studio,urbanneststu43@example.in,9544091031,999.00,
INV/2026-27/00219,invoice,2026-08-22,Naveen Krishnan,naveenkrishn67@example.in,9800837407,5298.00,
INV/2026-27/00226,invoice,2026-08-22,Tanvi Menon,tanvimenon13@example.in,9640037614,2799.00,
INV/2026-27/00232,invoice,2026-08-22,Nisha Yadav,nishayadav36@example.in,9191284529,1027.00,
INV/2026-27/00253,invoice,2026-08-22,John Hegde,johnhegde12@example.in,9587706589,3698.00,
INV/2026-27/00111,invoice,2026-08-23,Aakash Pandey,aakashpandey20@example.in,9223307924,7097.00,
INV/2026-27/00118,invoice,2026-08-23,Imran Chandra,imranchandra29@example.in,9880729022,2798.00,
INV/2026-27/00148,invoice,2026-08-23,Ganesh Sen,ganeshsen26@example.in,9057986828,8897.00,
INV/2026-27/00154,invoice,2026-08-23,Varun Mishra,varunmishra86@example.in,9260026751,9048.00,
INV/2026-27/00205,invoice,2026-08-23,Ramesh Sen,rameshsen50@example.in,9150556130,2347.00,
INV/2026-27/00211,invoice,2026-08-23,John Shetty,johnshetty33@example.in,9426462889,449.00,
INV/2026-27/00236,invoice,2026-08-23,Nikhil Subramanian,nikhilsubram76@example.in,9477718341,5877.00,
